"geo_id","sqft_median","sqft_count","rooms_median","rooms_count","bedrms_median","bedrms_count","sqft_median_2012_sales","sqft_count_2012_sales","rooms_median_2012_sales","rooms_count_2012_sales","bedrms_median_2012_sales","bedrms_count_2012_sales"
"06001005206","",0,"",0,"",0,"",0,"",0,"",0
"06001352202",2221.5,28,7.0,28,3.0,28,1561.0,2,6.5,2,3.0,2
"06001353001",2928.5,20,7.5,18,3.0,18,"",0,"",0,"",0
"06001354001",4382.0,5,11.0,5,4.0,5,9724.0,1,16.0,1,6.0,1
"06001355112","",0,"",0,"",0,"",0,"",0,"",0
"06001400100",2561.0,1326,7.0,1295,3.0,1308,2572.5,66,7.0,65,3.0,66
"06001400200",1964.0,619,7.0,601,3.0,608,1888.0,15,7.0,15,3.0,15
"06001400300",1505.0,1455,6.0,1367,3.0,1405,1398.5,58,6.0,56,2.5,58
"06001400400",1691.0,1092,7.0,1019,3.0,1038,1877.0,43,7.0,41,3.0,43
"06001400500",1380.5,920,6.0,856,3.0,876,1349.5,46,6.0,44,3.0,46
"06001400600",1559.0,438,6.0,420,3.0,429,1720.0,21,6.0,21,3.0,21
"06001400700",1447.0,1113,6.0,1055,3.0,1077,1575.5,68,7.0,68,3.0,68
"06001400800",1308.5,1006,5.0,935,2.0,960,1528.0,41,6.0,37,3.0,40
"06001400900",1388.5,660,6.0,615,3.0,631,1287.5,34,6.0,33,2.5,34
"06001401000",1351.0,1389,6.0,1323,3.0,1356,1366.5,90,6.0,90,3.0,90
"06001401100",1691.0,785,7.0,734,3.0,748,1766.0,31,7.0,30,3.0,29
"06001401200",1361.0,699,6.0,669,3.0,683,1385.0,25,6.0,25,3.0,25
"06001401300",1375.0,445,5.0,408,2.0,427,1139.0,45,5.0,43,2.0,45
"06001401400",1854.5,726,8.0,620,4.0,674,1834.0,59,8.0,56,4.0,57
"06001401500",1350.0,665,6.0,555,2.0,628,1464.0,49,5.0,38,2.0,47
"06001401600",1524.0,356,6.0,296,3.0,334,1733.0,27,6.0,23,3.0,24
"06001401700",1153.0,915,5.0,864,2.0,903,1135.0,101,3.0,97,1.0,101
"06001401800",1611.0,344,8.0,314,4.0,322,1852.0,19,9.0,19,5.0,19
"06001402200",1516.0,544,7.0,458,4.0,482,1616.0,33,6.0,33,4.0,28
"06001402400",1949.0,390,8.0,333,4.0,355,1585.5,16,7.0,15,4.0,16
"06001402500",1520.0,157,7.0,131,4.0,139,1225.0,3,5.0,3,3.0,3
"06001402600",2014.5,92,10.0,51,4.0,80,2900.0,3,12.0,3,4.0,3
"06001402700",2061.5,300,8.0,244,4.0,267,2058.0,15,8.0,13,4.0,15
"06001402800",1100.0,189,4.0,138,2.0,165,1008.0,16,3.0,12,1.0,13
"06001402900",25662.0,13,87.0,9,24.0,13,"",0,"",0,"",0
"06001403000",850.0,961,4.0,376,1.0,952,782.0,90,3.0,52,1.0,90
"06001403100",906.0,352,4.0,325,2.0,342,828.0,11,3.0,11,1.0,11
"06001403300",1062.0,1010,4.0,846,2.0,928,1062.0,91,4.0,87,2.0,91
"06001403400",1120.0,682,3.0,393,2.0,636,914.0,38,2.0,24,1.0,37
"06001403501",1378.0,585,6.0,524,3.0,554,1135.0,35,5.0,34,2.0,35
"06001403502",983.5,514,6.0,263,2.0,477,743.5,36,3.0,22,1.0,35
"06001403600",1183.0,679,7.0,371,2.0,645,970.5,40,5.0,21,2.0,38
"06001403701",1003.0,422,8.0,159,2.0,401,891.0,23,3.0,11,1.0,21
"06001403702",1243.0,385,4.0,303,2.0,372,1069.0,21,3.0,18,1.0,21
"06001403800",1977.0,965,7.0,818,3.0,926,1986.5,42,7.0,40,3.0,41
"06001403900",1159.0,1068,6.0,609,2.0,1043,979.0,46,7.0,22,2.0,46
"06001404000",1037.0,839,5.0,525,2.0,806,1082.5,34,7.0,17,2.0,33
"06001404101",1258.0,941,6.0,703,2.0,874,966.5,30,5.0,26,2.0,29
"06001404102",1244.0,389,5.0,341,2.0,356,756.0,9,3.0,8,1.0,9
"06001404200",1976.0,1265,7.0,1235,3.0,1285,2337.0,60,7.0,60,3.0,60
"06001404300",2425.5,1280,8.0,1214,3.0,1247,2366.0,45,7.0,43,3.0,45
"06001404400",1744.0,2280,6.0,2245,3.0,2260,1812.5,114,7.0,114,3.0,114
"06001404501",2334.0,669,7.0,648,3.0,653,2321.5,24,7.0,24,3.0,24
"06001404502",1862.0,2348,7.0,2255,3.0,2283,2037.0,110,7.0,110,3.0,110
"06001404600",2062.0,1822,7.0,1763,3.0,1781,2250.0,81,7.0,79,3.0,81
"06001404700",1927.0,805,7.0,782,3.0,790,1787.5,42,7.0,42,3.0,42
"06001404800",1514.5,762,6.0,730,3.0,752,1636.5,36,6.0,36,3.0,36
"06001404900",1447.0,1400,6.0,1335,3.0,1379,1417.0,57,6.0,57,3.0,57
"06001405000",1706.0,1107,6.0,1051,3.0,1091,1710.0,53,6.0,51,3.0,53
"06001405100",2180.0,1588,7.0,1568,3.0,1570,2324.0,63,8.0,63,3.0,63
"06001405200",1994.0,1022,7.0,916,3.0,986,1911.0,43,7.0,41,3.0,43
"06001405301",2292.5,296,8.0,259,4.0,288,1368.0,11,4.0,11,2.0,11
"06001405302",2664.0,221,10.0,176,4.0,183,1108.0,5,5.0,5,2.0,5
"06001405401",2004.0,397,9.0,353,4.0,380,2886.0,11,11.0,8,6.0,11
"06001405402",2100.0,315,8.0,282,4.0,295,2151.5,8,12.0,7,4.0,8
"06001405500",1560.0,707,6.0,634,3.0,694,1341.0,53,5.0,49,2.0,53
"06001405600",1774.0,585,7.0,518,3.0,550,1358.0,27,6.0,24,3.0,27
"06001405700",1330.0,629,6.0,602,3.0,611,1440.0,29,6.5,28,3.0,28
"06001405800",1343.0,809,6.0,776,3.0,790,1287.0,29,6.0,28,3.0,29
"06001405901",1471.0,535,7.0,492,3.0,501,1384.0,21,7.0,21,4.0,21
"06001405902",1412.0,525,6.0,483,3.0,499,1662.0,26,8.0,25,3.0,26
"06001406000",1250.0,423,5.0,370,2.0,339,976.5,36,3.0,32,2.0,23
"06001406100",1253.0,759,5.0,645,3.0,689,1338.0,43,5.0,38,2.0,42
"06001406201",1522.0,557,6.0,524,3.0,527,1672.0,34,7.0,33,3.0,33
"06001406202",1453.0,385,6.0,356,3.0,375,1437.0,13,7.0,13,3.0,13
"06001406300",1406.0,722,6.0,695,3.0,708,1584.0,25,6.0,25,3.0,25
"06001406400",1386.0,473,6.0,463,3.0,468,1336.0,21,6.0,20,3.0,21
"06001406500",1312.0,1005,6.0,962,3.0,987,1324.5,50,6.0,48,3.0,49
"06001406601",1162.0,1088,6.0,1043,2.0,1069,1112.0,52,5.5,50,2.5,52
"06001406602",1318.0,435,6.0,409,3.0,434,1225.0,24,6.0,23,3.0,24
"06001406700",1336.5,1862,6.0,1834,3.0,1849,1296.0,77,6.0,75,3.0,77
"06001406800",1427.0,1207,6.0,1162,3.0,1181,1523.0,63,6.0,52,3.0,62
"06001406900",1414.0,1105,6.0,1034,3.0,1089,1383.0,49,6.0,44,3.0,49
"06001407000",1102.5,1262,5.0,1221,2.0,1243,1115.0,68,5.0,66,3.0,68
"06001407101",1247.5,534,6.0,519,3.0,524,1156.0,27,6.0,27,3.0,27
"06001407102",1232.0,967,6.0,939,2.0,947,1201.0,43,6.0,42,3.0,43
"06001407200",1296.0,843,6.0,737,3.0,792,1159.0,38,6.0,30,3.0,38
"06001407300",1026.0,406,5.0,386,2.0,394,1132.0,21,6.0,21,3.0,21
"06001407400",1240.5,624,6.0,596,3.0,612,1232.5,30,6.0,29,2.5,30
"06001407500",1192.5,648,6.0,637,3.0,640,1351.0,33,6.0,33,3.0,33
"06001407600",1285.0,1422,6.0,1394,3.0,1409,1251.0,84,6.0,83,2.0,84
"06001407700",1265.0,1634,6.0,1624,2.0,1629,1262.5,102,6.0,101,2.0,102
"06001407800",1307.0,636,6.0,632,2.0,632,1315.0,40,6.0,40,3.0,39
"06001407900",1318.0,1022,6.0,1002,3.0,1008,1438.0,63,6.0,62,3.0,62
"06001408000",1893.0,946,6.0,927,3.0,931,1858.5,44,6.0,43,3.0,44
"06001408100",1995.0,2627,7.0,2561,3.0,2596,1757.0,197,6.0,194,3.0,197
"06001408200",1318.5,1160,6.0,1146,3.0,1152,1345.5,82,6.0,79,3.0,81
"06001408300",1256.0,1514,6.0,1489,3.0,1498,1244.0,99,6.0,97,3.0,98
"06001408400",1081.0,885,5.0,869,2.0,875,1076.0,56,5.0,56,2.0,56
"06001408500",1143.0,1215,5.0,1188,2.0,1198,1250.0,83,6.0,83,3.0,83
"06001408600",1115.0,1352,5.0,1328,2.0,1344,1110.0,78,6.0,78,3.0,77
"06001408700",1182.0,1657,6.0,1620,2.0,1642,1207.5,102,6.0,95,2.0,101
"06001408800",1006.5,834,5.0,821,2.0,826,1041.5,44,6.0,44,2.0,44
"06001408900",1081.0,589,5.0,573,2.5,582,1039.5,42,6.0,41,3.0,41
"06001409000",1013.0,904,5.0,891,3.0,895,1036.0,38,5.5,38,2.0,38
"06001409100",996.0,613,5.0,603,2.0,607,1005.0,33,5.0,33,2.0,33
"06001409200",1100.0,767,5.0,742,3.0,753,1100.0,49,5.0,49,3.0,49
"06001409300",1157.0,1084,5.0,1067,2.0,1075,1212.0,63,5.0,62,2.0,63
"06001409400",1248.0,955,6.0,929,3.0,945,1233.0,55,6.0,54,3.0,55
"06001409500",1086.0,645,5.0,633,3.0,638,1255.0,47,6.0,46,3.0,47
"06001409600",1194.0,1045,6.0,1019,3.0,1030,1177.0,51,5.0,51,3.0,51
"06001409700",1177.0,980,6.0,960,3.0,968,1192.0,54,6.0,52,3.0,54
"06001409800",1543.0,962,6.0,950,3.0,953,1626.0,57,6.0,57,3.0,57
"06001409900",1862.5,1370,7.0,1267,3.0,1280,1799.5,58,6.0,57,3.0,58
"06001410000",1864.0,1133,6.0,1114,3.0,1118,1823.0,48,6.0,46,3.0,48
"06001410100",1213.0,805,6.0,801,2.0,804,1360.0,57,6.0,57,3.0,57
"06001410200",1118.5,812,5.0,799,2.0,804,1068.0,45,5.0,44,2.0,44
"06001410300",1171.5,664,6.0,653,3.0,661,1061.0,41,5.0,41,3.0,41
"06001410400",1158.5,1088,6.0,1068,2.0,1076,1063.0,62,5.5,62,2.0,62
"06001410500",1886.0,184,7.0,156,4.0,171,1463.0,5,6.0,5,4.0,5
"06001420100",1344.0,776,6.0,769,3.0,772,1293.5,18,6.0,18,3.0,18
"06001420200",1160.0,803,5.0,754,2.0,795,800.0,66,4.0,65,1.0,66
"06001420300",1170.0,1723,5.0,1491,2.0,1689,1170.0,55,5.0,48,2.0,55
"06001420500",1183.0,683,5.0,653,2.0,674,1050.0,19,5.0,19,2.0,19
"06001420600",1337.5,1158,6.0,1147,3.0,1151,1344.5,22,6.0,22,3.0,22
"06001421100",1893.0,830,7.0,820,3.0,823,1700.0,25,6.0,25,3.0,25
"06001421200",2177.0,1427,7.0,1412,3.0,1416,2333.5,34,7.0,34,3.0,34
"06001421300",1575.0,1575,6.0,1562,3.0,1569,1474.0,39,6.0,39,3.0,39
"06001421400",2002.5,608,7.0,600,3.0,603,1976.0,14,7.0,14,3.0,14
"06001421500",1876.5,1488,6.0,1435,3.0,1453,1849.5,44,6.0,39,3.0,44
"06001421600",1920.0,1438,7.0,1364,3.0,1391,1847.5,50,6.0,49,3.0,50
"06001421700",1766.5,794,7.0,628,3.0,756,1511.0,25,6.0,22,3.0,25
"06001421800",1411.0,721,6.0,697,3.0,714,1402.5,22,6.0,19,3.0,22
"06001421900",1231.0,1358,6.0,1328,2.0,1346,1151.0,40,5.0,39,2.0,40
"06001422000",1312.0,401,5.0,321,2.0,359,1104.0,17,4.0,12,2.0,14
"06001422100",1211.0,718,5.0,668,3.0,695,1231.0,33,6.0,29,3.0,31
"06001422200",1268.0,902,6.0,866,2.0,885,1274.0,34,5.0,32,2.5,34
"06001422300",1418.0,845,6.0,753,3.0,814,1236.0,25,5.5,22,2.5,24
"06001422400",2266.0,491,7.5,354,4.0,461,1392.0,13,6.0,11,3.0,13
"06001422500",2098.0,565,7.0,372,3.0,524,978.0,14,7.0,8,2.0,12
"06001422600",2437.5,14,8.0,14,4.0,14,"",0,"",0,"",0
"06001422700",2341.5,234,8.0,179,4.0,213,2078.5,6,7.0,5,3.0,6
"06001422800",3898.5,146,11.0,83,6.0,129,2540.0,6,9.0,3,4.0,5
"06001422900",3066.0,147,10.0,105,5.0,135,"",0,"",0,"",0
"06001423000",1461.0,1089,6.0,981,3.0,1035,1345.0,25,6.0,21,2.0,24
"06001423100",1189.0,991,5.0,927,2.0,963,1178.0,34,5.0,30,2.0,34
"06001423200",1451.0,536,6.0,473,3.0,517,1287.0,20,6.0,18,3.0,19
"06001423300",1206.5,1064,5.5,968,2.0,1015,1225.0,47,5.0,45,2.0,47
"06001423400",1479.0,1102,6.0,983,3.0,1047,1513.0,32,7.0,28,3.0,30
"06001423500",1716.0,577,6.0,467,3.0,525,1432.0,17,7.0,15,3.0,16
"06001423601",1989.0,670,7.0,563,3.0,621,2062.0,15,7.0,13,3.0,15
"06001423602",1989.0,609,7.0,462,3.0,561,2590.0,19,8.0,15,3.5,18
"06001423700",2525.0,693,8.0,569,4.0,665,2699.5,20,9.0,15,4.5,20
"06001423800",2423.0,1115,8.0,1064,4.0,1092,1882.5,26,6.0,26,3.0,26
"06001423901",1639.0,452,6.0,380,3.0,402,1355.0,19,6.0,18,3.0,19
"06001423902",1909.0,396,7.0,319,3.0,356,1291.5,14,5.0,11,2.0,14
"06001424001",1848.0,638,7.0,512,3.0,577,1500.0,35,6.0,30,3.0,35
"06001424002",1223.0,545,6.0,491,3.0,508,1187.0,31,6.0,26,3.0,27
"06001425101",666.0,1248,3.0,79,1.0,964,666.0,55,3.0,5,1.0,41
"06001425102",768.0,1067,3.0,1039,1.0,974,743.0,141,3.0,140,1.0,126
"06001425103",1226.0,663,5.0,645,2.0,654,1246.0,25,5.0,25,2.0,25
"06001425104",1161.0,935,4.0,701,2.0,867,1143.5,98,4.0,91,2.0,98
"06001426100",2817.0,2152,8.0,2070,4.0,2080,2809.0,81,8.0,79,4.0,81
"06001426200",2040.0,1619,7.0,1597,3.0,1601,2010.0,65,7.0,65,3.0,65
"06001427100",1660.0,1240,6.0,1217,3.0,1227,1495.0,42,7.0,42,3.0,42
"06001427200",1504.0,906,6.0,807,3.0,844,1475.0,26,6.0,23,3.0,26
"06001427300",1503.0,1165,6.0,1087,3.0,1120,1560.0,49,7.0,49,3.0,49
"06001427600",1590.0,254,7.0,227,4.0,245,1563.5,8,7.0,8,4.0,8
"06001427700",1577.0,1065,6.0,935,3.0,1038,1552.0,41,6.0,37,3.0,41
"06001427800",1794.0,1119,7.0,1010,3.0,1066,2140.5,36,7.0,33,3.5,36
"06001427900",2082.5,1044,7.0,880,3.0,976,1954.5,36,7.0,32,3.0,36
"06001428000",2119.0,387,6.0,297,4.0,366,1596.0,9,6.0,6,4.0,9
"06001428100",1668.0,1271,6.0,1192,3.0,1234,1704.0,43,6.0,42,3.0,43
"06001428200",1443.0,1949,6.0,1862,3.0,1910,1311.0,76,5.0,75,2.0,76
"06001428301",1584.0,2475,6.0,2465,3.0,2465,1519.0,95,6.0,95,3.0,95
"06001428302",2057.0,2649,7.0,2296,3.0,2448,1757.5,66,7.0,59,3.0,65
"06001428400",1784.0,773,6.0,668,3.0,741,1565.0,26,6.0,23,3.0,25
"06001428500",1468.0,830,6.0,707,3.0,825,1060.0,31,5.0,27,2.0,31
"06001428600",1271.0,1091,5.0,982,2.0,1048,1001.0,46,4.0,43,2.0,46
"06001428700",2539.0,496,9.0,495,3.0,495,2805.0,17,9.0,17,3.0,17
"06001430101",2228.0,2230,8.0,2162,4.0,2184,1887.0,81,7.0,78,3.0,81
"06001430102",1964.5,886,7.0,701,4.0,725,1944.0,30,7.0,26,4.0,30
"06001430200",1854.0,2455,7.0,2377,3.0,2386,1854.0,77,7.0,77,3.0,77
"06001430300",1893.0,1324,7.0,1281,3.0,1282,1988.0,58,7.0,57,3.0,57
"06001430400",1822.0,761,7.0,736,3.0,741,1882.0,29,7.0,28,3.0,29
"06001430500",1416.0,1561,6.0,1454,3.0,1533,1486.0,86,6.0,73,3.0,86
"06001430600",1719.0,2132,6.0,2040,3.0,2085,1812.0,91,7.0,88,3.0,91
"06001430700",1436.0,1321,6.0,1312,3.0,1315,1390.0,49,6.0,49,3.0,49
"06001430800",1372.0,1740,6.0,1666,3.0,1701,1511.0,89,6.0,88,3.0,89
"06001430900",1475.0,672,6.0,571,3.0,636,1460.0,29,5.0,19,3.0,26
"06001431000",1308.0,481,6.0,450,3.0,459,1461.5,12,6.0,11,3.0,12
"06001431100",1267.0,628,6.0,593,3.0,609,1118.5,26,5.0,26,3.0,26
"06001431200",1202.0,1911,6.0,1878,2.0,1883,1232.0,98,6.0,98,3.0,98
"06001432100",1461.0,1260,6.0,1245,3.0,1257,1524.0,67,6.0,67,3.0,67
"06001432200",1720.0,978,7.0,954,3.0,970,1783.0,52,6.0,50,3.0,51
"06001432300",1353.0,1379,6.0,1361,3.0,1378,1377.0,91,6.0,91,3.0,91
"06001432400",1188.5,1222,5.0,1178,3.0,1198,1070.0,47,5.0,46,3.0,47
"06001432501",1129.0,1109,6.0,1087,3.0,1101,1055.0,43,5.5,42,3.0,42
"06001432502",1170.0,1069,6.0,1039,3.0,1049,1175.0,35,6.0,35,3.0,35
"06001432600",1216.0,1432,5.0,1295,2.0,1413,1184.5,72,4.0,66,2.0,72
"06001432700",1618.0,874,6.0,840,3.0,862,1520.0,39,6.0,36,3.0,38
"06001432800",2046.0,1401,7.0,1362,3.0,1378,1864.0,64,6.0,64,3.0,64
"06001433000",1291.5,1392,6.0,1365,3.0,1388,1338.0,77,6.0,76,3.0,76
"06001433102",1366.0,1151,6.0,918,3.0,959,1342.0,47,5.5,40,3.0,46
"06001433103",1153.5,486,5.0,454,3.0,480,1127.0,27,5.0,23,3.0,27
"06001433104",1630.0,545,6.0,355,3.0,460,1148.5,24,5.0,13,2.0,22
"06001433200",1339.5,1496,6.0,1238,3.0,1359,1142.0,53,6.0,45,3.0,53
"06001433300",1257.0,2150,6.0,2146,3.0,2147,1257.0,77,6.0,77,3.0,77
"06001433400",1544.0,1982,7.0,1874,3.0,1903,1544.0,83,6.0,83,3.0,83
"06001433500",1241.0,1348,6.0,1323,3.0,1329,1169.0,49,5.0,49,3.0,49
"06001433600",1190.0,1598,5.0,1531,3.0,1550,1206.0,63,6.0,63,3.0,63
"06001433700",1168.0,717,5.0,701,3.0,715,1290.0,42,6.0,41,3.0,42
"06001433800",1202.0,1630,6.0,1553,3.0,1597,1131.0,81,5.0,80,3.0,81
"06001433900",1217.5,642,6.0,580,3.0,633,1312.0,41,6.0,36,3.0,40
"06001434000",1253.5,864,6.0,833,3.0,853,984.0,46,5.0,43,3.0,45
"06001435102",1995.0,1488,7.0,1427,3.0,1429,1770.5,76,6.0,76,3.0,76
"06001435103",2352.0,2155,8.0,1999,4.0,2032,2527.0,104,8.0,103,4.0,103
"06001435104",952.0,896,6.0,631,2.0,874,878.0,77,4.0,43,2.0,76
"06001435200",1596.0,1352,6.0,1211,3.0,1231,1615.0,69,6.0,68,3.0,69
"06001435300",1371.0,934,6.0,850,3.0,897,1378.0,65,6.0,59,3.0,65
"06001435400",1375.0,902,6.0,866,3.0,888,1359.0,58,6.0,57,2.0,58
"06001435500",1416.0,731,6.0,663,3.0,713,1263.0,37,6.0,36,3.0,37
"06001435601",1214.0,771,5.0,689,3.0,746,1033.0,30,5.0,29,2.0,30
"06001435602",1411.5,890,6.0,842,3.0,868,1125.0,42,5.0,40,2.0,42
"06001435700",1182.0,1247,6.0,1233,3.0,1238,1356.0,51,6.0,51,3.0,51
"06001435800",1134.0,1579,6.0,1570,3.0,1572,1000.0,66,6.0,66,3.0,66
"06001435900",1352.0,1686,6.0,1680,3.0,1681,1352.0,69,6.0,69,3.0,69
"06001436000",1210.5,1474,6.0,1453,3.0,1456,1252.0,59,6.0,59,3.0,59
"06001436100",1256.0,1318,6.0,1306,3.0,1315,1228.0,55,6.0,55,3.0,55
"06001436200",1281.0,372,6.0,333,3.0,368,1317.5,8,5.0,6,2.5,8
"06001436300",1381.0,1521,6.0,1467,3.0,1500,1381.0,124,5.0,122,3.0,124
"06001436401",1502.0,1972,6.0,1781,3.0,1875,1465.5,116,6.0,106,3.0,116
"06001436402",2034.0,1081,7.0,1019,3.0,1024,1907.0,45,7.0,44,3.0,45
"06001436500",1274.0,590,6.0,567,3.0,581,1274.0,35,5.0,33,3.0,34
"06001436601",1100.0,1014,6.0,975,3.0,997,1057.0,51,6.0,50,3.0,51
"06001436602",1499.5,538,6.0,515,3.0,528,1416.0,23,6.0,23,3.0,23
"06001436700",1204.0,944,5.0,881,3.0,924,1468.0,74,6.0,72,3.0,75
"06001436800",1360.0,797,5.0,787,3.0,791,1225.0,40,5.0,40,3.0,40
"06001436900",1194.0,1106,6.0,1065,3.0,1090,1200.0,49,6.0,46,3.0,49
"06001437000",1215.0,1269,5.0,1258,3.0,1263,1128.0,59,5.0,59,3.0,59
"06001437101",1750.0,1906,7.0,1818,3.0,1846,1922.0,115,7.0,111,3.0,115
"06001437102",1254.0,992,6.0,990,3.0,992,1254.0,51,6.0,51,3.0,51
"06001437200",1582.0,1515,6.0,1240,3.0,1293,1527.0,72,6.0,65,3.0,70
"06001437300",1285.0,646,6.0,641,3.0,644,1128.0,23,6.0,23,3.0,23
"06001437400",1103.5,952,6.0,951,3.0,951,1181.5,50,6.0,50,3.0,50
"06001437500",1204.0,456,6.0,429,3.0,448,1165.0,34,5.0,33,3.0,34
"06001437600",1210.0,747,6.0,667,3.0,740,1205.0,42,5.0,32,3.0,42
"06001437701",1037.0,391,5.0,351,3.0,381,1037.0,29,5.0,28,2.0,29
"06001437702",1744.0,255,10.0,202,5.0,253,1667.0,31,8.0,26,4.0,31
"06001437800",1386.0,1212,6.0,1106,3.0,1121,1421.5,64,6.0,62,3.0,64
"06001437900",1056.0,390,5.0,361,3.0,369,1416.0,14,6.5,14,3.0,14
"06001438000",1392.0,874,6.0,848,3.0,869,1313.0,43,6.0,40,3.0,43
"06001438100",1244.0,1946,6.0,1913,3.0,1944,1233.0,86,6.0,86,3.0,86
"06001438201",1058.5,918,5.0,792,3.0,792,1000.0,33,5.0,33,3.0,33
"06001438203",1472.0,971,6.0,885,3.0,890,1335.0,45,5.0,45,3.0,45
"06001438204",1413.0,1048,6.0,961,3.0,969,1387.5,44,5.0,44,3.0,44
"06001438300",1119.0,926,5.0,926,3.0,926,1119.0,45,5.0,45,3.0,45
"06001438400",1232.0,599,6.0,536,3.0,536,1236.5,20,6.0,20,3.0,20
"06001440100",1135.0,579,5.0,525,3.0,549,1135.0,31,5.0,31,3.0,31
"06001440200",1324.0,1153,6.0,1098,3.0,1127,1322.0,40,6.0,38,3.0,40
"06001440301",1566.0,1562,7.0,1481,3.0,1489,1566.0,67,7.0,67,3.0,67
"06001440304",1430.0,1159,6.0,964,3.0,1043,1357.0,43,6.0,40,3.0,42
"06001440305",1541.0,1029,8.0,908,4.0,960,1469.5,38,8.0,35,4.0,38
"06001440306",1280.0,1055,6.0,990,3.0,1030,1274.0,58,6.0,57,3.0,58
"06001440307",1392.0,1004,7.0,674,3.0,852,1319.0,52,5.0,39,3.0,52
"06001440308",1544.0,1222,7.0,1176,4.0,1208,1520.0,55,7.0,55,3.0,55
"06001440331",1226.5,802,5.0,598,3.0,731,1170.0,21,5.0,15,3.0,20
"06001440332",2509.0,877,8.0,867,4.0,876,2509.0,33,8.0,33,4.0,33
"06001440333",2164.0,832,8.0,746,4.0,776,2164.0,29,8.0,27,4.0,29
"06001440334",1556.0,1086,7.0,1024,4.0,1044,1543.0,42,7.0,41,4.0,42
"06001440335",1978.0,1464,8.0,1450,4.0,1464,1881.0,87,8.0,87,4.0,87
"06001440336",1382.0,1195,7.0,681,3.0,1085,1378.0,50,7.0,30,3.0,48
"06001441100",1605.0,1279,6.0,1102,3.0,1149,1520.0,39,6.0,38,3.0,38
"06001441200",1663.0,1988,7.0,1952,3.0,1968,1447.5,78,6.0,78,3.0,78
"06001441301",2187.0,649,8.0,577,4.0,603,2092.0,27,7.0,27,4.0,27
"06001441302",1703.0,1526,7.0,1401,3.0,1454,1703.0,57,7.0,55,3.0,57
"06001441401",1450.0,1928,7.0,1627,3.0,1770,1390.0,80,6.0,75,3.0,78
"06001441402",1607.0,1538,7.0,1349,3.0,1428,1597.0,58,7.0,55,3.0,57
"06001441501",1871.0,1774,7.0,1604,4.0,1686,1704.0,45,7.0,41,4.0,45
"06001441503",1611.0,1733,6.0,1718,3.0,1733,1617.0,99,6.0,99,3.0,99
"06001441521",1601.0,1657,7.0,1307,4.0,1460,1717.0,47,7.0,43,3.0,47
"06001441522",1480.0,1448,6.0,964,3.0,1184,1629.0,72,6.0,54,3.0,67
"06001441523",991.0,1481,4.0,1481,2.0,1482,1110.0,56,4.0,56,2.0,56
"06001441524",1641.0,1400,6.0,1390,3.0,1399,1655.0,43,6.0,43,3.0,43
"06001441601",1344.0,1415,6.0,1412,3.0,1413,1315.0,60,6.0,60,3.0,60
"06001441602",1363.0,1601,6.0,1559,3.0,1593,1330.0,65,6.0,62,3.0,65
"06001441700",1119.0,2100,5.0,2038,2.0,2054,942.0,151,4.0,148,2.0,142
"06001441800",1500.0,1845,6.0,1494,3.0,1755,1523.0,63,6.0,52,3.0,62
"06001441921",1056.0,924,5.0,883,3.0,899,1236.0,35,6.0,32,3.0,34
"06001441923",1003.0,234,6.0,83,2.0,225,1003.0,14,5.5,4,2.0,14
"06001441924",1282.0,2334,5.0,1817,3.0,2144,1199.0,107,5.0,84,2.0,105
"06001441925",895.0,784,4.0,660,2.0,783,857.0,49,4.0,44,2.0,49
"06001441926",1371.0,434,6.0,273,3.0,417,1389.0,34,6.0,22,3.0,34
"06001441927",1430.0,687,6.0,583,3.0,678,1042.0,48,4.0,43,2.0,48
"06001442000",2566.0,1002,8.0,892,4.0,934,2553.5,30,8.0,28,4.0,30
"06001442100",1878.0,1607,7.0,1572,4.0,1591,1692.0,69,7.0,67,4.0,68
"06001442200",1750.0,2059,7.0,2022,4.0,2040,1738.5,86,7.0,83,4.0,84
"06001442301",1400.0,981,6.0,963,3.0,979,1640.0,56,6.0,54,3.0,55
"06001442302",1474.0,779,6.0,760,3.0,777,1568.0,63,6.0,62,3.0,63
"06001442400",1306.0,1654,6.0,1648,3.0,1651,1220.0,75,6.0,75,3.0,75
"06001442500",1324.0,1698,6.0,1593,3.0,1673,1302.0,53,6.0,47,3.0,53
"06001442601",1624.0,1036,6.0,1023,3.0,1028,1562.0,37,7.0,37,3.0,37
"06001442602",1736.0,1115,6.0,1103,3.0,1114,1743.0,76,6.0,76,3.0,76
"06001442700",1594.0,907,6.0,901,3.0,903,1635.0,33,7.0,33,3.0,33
"06001442800",1256.0,944,6.0,944,3.0,944,1232.0,42,6.0,42,3.0,42
"06001442900",1445.0,1994,6.0,1989,3.0,1993,1435.5,86,6.0,86,3.0,86
"06001443001",1151.0,819,5.0,817,3.0,818,1249.5,46,5.0,46,3.0,46
"06001443002",1360.0,1677,6.0,1575,3.0,1577,1368.0,51,6.0,51,3.0,51
"06001443102",2240.0,1501,8.0,1125,4.0,1311,2160.0,85,8.0,80,4.0,85
"06001443103",3142.0,1200,10.0,1168,4.0,1189,3116.0,39,10.0,39,4.0,39
"06001443104",1798.0,1503,7.0,1376,3.0,1445,1715.0,66,7.0,64,3.5,66
"06001443105",2340.0,1436,8.0,1301,4.0,1372,1842.0,81,7.0,75,3.0,80
"06001443200",3273.0,1155,9.0,982,4.0,1065,3561.0,41,9.0,39,4.0,41
